Updated: Wed Jul 15 13:31:08 CDT 2026
Username,Disk Used,Files Used
*,0B,0
10382,0B,1
2556,0B,1
8306,0B,1
a124h117,0B,1
a164n634,0B,1
a947a573,0B,1
b809a050,0B,2
c721s275,0B,1
f038b044,0B,1
f134t664,0B,1
jensen,0B,1
k057p325,0B,1
k318y142,0B,1
k478t890,0B,1
k597m303,0B,1
k756m211,0B,1
k947c454,0B,1
k952p915,0B,1
m525g908,0B,2
m754r856,0B,1
mtholder,0B,1
n916b574,0B,1
p109r165,0B,1
p277m060,0B,1
r011g326,0B,1
w423f654,0B,1
w425z264,0B,1
w650s609,0B,1
z343w151,0B,1
100395100,4KB,1
100302928,8KB,1
100435315,8KB,2
moyle,136KB,8
100435793,164KB,18
p757p411,2.45MB,34
p470d241,3.52MB,134
r557e636,9.11MB,10
k934h127,39.54MB,11
100478347,44.15MB,1422
c447s996,323.4MB,50
k917r540,785.9MB,131
159799,1023MB,20
100356371,1.03GB,1
o031l418,2.78GB,250
e379l440,4.95GB,240
d711r320,6.86GB,117
jkarch,8.07GB,144402
m350g339,8.65GB,397
100511615,9.44GB,199360
100385527,11.40GB,157835
j306c371,17.40GB,383547
135273,17.59GB,261797
d135l135,18.49GB,22540
s953b810,20.44GB,228013
m538c005,37.38GB,2798
a265m760,45.66GB,1110
e059n789,59.95GB,1690
b686w673,67.07GB,1084
a733h002,93.38GB,5224
144363,97.05GB,788
12079,98.98GB,5831
r504w480,104.0GB,3681
d797i435,122.6GB,7383
k506c250,140.0GB,48963
100490589,173.4GB,781512
r110a449,223.1GB,22034
c361n270,232.0GB,2832
memort,232.5GB,2550
k817a873,250.6GB,315
100315184,290.6GB,84
s649d522,329.5GB,9656
p953c068,342.2GB,9695
c148p274,457.1GB,1304
m060h638,530.2GB,540733
l095w344,564.9GB,1694
c889s469,611.7GB,24368
k246c679,895.4GB,1137454
a619f280,1.33TB,195898
h690s403,1.50TB,9094
l944d476,1.79TB,91642
fmachado-stredel_sta,2.43TB,407864
root,2.61TB,35883
a338p722,2.88TB,31200
c378m666,3.40TB,68612
d669d153,4.26TB,698147
p653w640,6.17TB,923205
